KEY,標準,標準_日本語,倉庫,倉庫_日本語,FUJI,FUJI_日本語,FUJI岡崎,FUJI豊田,FUJI豊田(機械加工),ELS,明和,東栄電機,NFT,東芝産業機器システム,フジプレアム,ツガル精密機器,富士電機,日本マイクロニクス
key.ProcessDisplayRows,Process display rows,表示行数,,,,,,,,,,,,,,,,
key.ProcessPageSwitchingInterval,Process page switching interval (sec),工程ページ切替間隔（秒）,,,,,,,,,,,,,,,,
key.CallSoundSetting,Call Sound settings,呼出音設定,,,,,,,,,,,,,,,,
key.RequiredWorkProcess,One or more processes are required.,工程は一つ以上必要です。,,,,,,,,,,,,,,,,
key.alert.AlreadyWorkingOrganization,Achievement cannot be output in an organization working on another terminal.,他端末で作業中の組織では実績出力できません。,,,,,,,,,,,,,,,,
key.alert.ActualAditionAddError,Error occurred when registering process record information,工程実績付加情報の登録でエラー発生,,,,,,,,,,,,,,,,
key.alert.ThereWorkingNonStart,I can't start work because I'm working.,作業中のため作業開始にできません。,,,,,,,,,,,,,,,,
key.alert.ThereCompletedNonStart,The work cannot be started because the work has been completed.,作業完了済みのため作業開始にできません。,,,,,,,,,,,,,,,,
key.alert.ThereInterruptNonStart,Work cannot be started due to planning or interruption.,計画中または中断のため作業開始にできません。,,,,,,,,,,,,,,,,
key.LiteStatusNoWork,No work,作業なし,,,,,,,,,,,,,,,,
key.CheckBarcode,制定ラベルと照合する,制定ラベルと照合する,,,,,,,,,,,,,,,,
key.DeleteIndirectWork,間接作業の削除,間接作業の削除,,,,,,,,,,,,,,,,
key.DeleteIndirectWorkDetail,作業している間接作業があるので、削除できません。,作業している間接作業があるので、削除できません。,,,,,,,,,,,,,,,,
key.InputProductNum,製造番号を登録する,製造番号を登録する,,,,,,,,,,,,,,,,
key.WorkReport.WorkNum,作業数,作業数,,,,,,,,,,,,,,,,
no_production_number,製造番号が選択されていません,製造番号が選択されていません,,,,,,,,,,,,,,,,
no_production_number_details,1つ以上の製造番号を選択してください,1つ以上の製造番号を選択してください,,,,,,,,,,,,,,,,
edited_workflow,工程・\n工程順編集,工程・\n工程順編集,,,,,,,,,,,,,,,,
reference_workflow,工程・\n工程順参照,工程・\n工程順参照,,,,,,,,,,,,,,,,
remarks1,Remarks 1,工程,,,,,,,,,,,,,,,,
remarks2,Remarks 2,区分,,,,,,,,,,,,,,,,
range_three_digit_hours,入力範囲: %s ～ %s,入力範囲: %s ～ %s,,,,,,,,,,,,,,,,
key.NeedStopWorking,作業中の工程があります。 作業を中止して下さい。,作業中の工程があります。 作業を中止して下さい。,,,,,,,,,,,,,,,,
key.CanNotRegistWorkingWorkKanban,作業中の工程があるため、カンバンを更新できませんでした。,作業中の工程があるため、カンバンを更新できませんでした。,,,,,,,,,,,,,,,,
key.InputKeyboard,キーボード入力,キーボード入力,,,,,,,,,,,,,,,,
key.touchkeyboard,タッチキーボード,タッチキーボード,,,,,,,,,,,,,,,,
key.AddInfoHeaderName,ヘッダ名,ヘッダ名,,,,,,,,,,,,,,,,
deliveryNo,Payout No,払出指示番号,,,,,,,,,,,,,,,,
suppliedScheduleDate,Supplied scheduled date,支給予定日,,,,,,,,,,,,,,,,
unarrivedOnly,Unarrived goods only,未納入品のみ,,,,,,,,,,,,,,,,
warehouse.inspection,Inspection,受入検査,,,,,,,,,,,,,,,,
warehouse.production,Receipt from Production,完成入庫,,,,,,,,,,,,,,,,
warehouse.shipping,Shipping,出荷払出,,,,,,,,,,,,,,,,
deliveryTemplateNotFound,払出票テンプレートは存在しません。テンプレートがテンプレートフォルダにあるか確認してください。,払出票テンプレートは存在しません。テンプレートがテンプレートフォルダにあるか確認してください。,,,,,,,,,,,,,,,,
key.NotFoundHeaderColumn,指定した名称のヘッダー行がありません。[%s ][ヘッダ行 : %s],指定した名称のヘッダー行がありません。[%s][ヘッダ行 : %s],,,,,,,,,,,,,,,,
key.warn.CutOverCharacters,文字数超過の為、%d文字以降をカットしました。,文字数超過の為、%d文字以降をカットしました。,,,,,,,,,,,,,,,,
liteTerminal,作業者端末(Lite),作業者端末(Lite),,,,,,,,,,,,,,,,
reporterTerminal,作業者端末(Reporter),作業者端末(Reporter),,,,,,,,,,,,,,,,
key.LedgerManager,帳票管理,帳票管理,,,,,,,,,,,,,,,,
key.Ledger,帳票,帳票,,,,,,,,,,,,,,,,
key.LedgerName,帳票名,帳票名,,,,,,,,,,,,,,,,
key.LedgerType,帳票への出力,帳票への出力,,,,,,,,,,,,,,,,
key.Aggregation,集約,集約,,,,,,,,,,,,,,,,
key.Individual,個別,個別,,,,,,,,,,,,,,,,
key.KeyAggregation,キー集約,キー集約,,,,,,,,,,,,,,,,
key.RegistLedgerHierarchy,帳票階層の登録,帳票階層の登録,,,,,,,,,,,,,,,,
key.RegistLedger,帳票の登録,帳票の登録,,,,,,,,,,,,,,,,
key.Creator,作成者,作成者,,,,,,,,,,,,,,,,
key.CreateDate,作成日,作成日,,,,,,,,,,,,,,,,
key.Pattern,パターン,パターン,,,,,,,,,,,,,,,,
key.Interval,間隔,間隔,,,,,,,,,,,,,,,,
key.PerDay,日ごと,日ごと,,,,,,,,,,,,,,,,
key.PerWeek,週ごと,週ごと,,,,,,,,,,,,,,,,
key.PerMonth,ヵ月ごと,ヵ月ごと,,,,,,,,,,,,,,,,
key.First,第1,第1,,,,,,,,,,,,,,,,
key.Second,第2,第2,,,,,,,,,,,,,,,,
key.Third,第3,第3,,,,,,,,,,,,,,,,
key.Fourth,第4,第4,,,,,,,,,,,,,,,,
key.Last,最終,最終,,,,,,,,,,,,,,,,
key.LedgerType,帳票の種類,帳票の種類,,,,,,,,,,,,,,,,
key.TargetPeriod,対象期間,対象期間,,,,,,,,,,,,,,,,
key.KeyTag,キータグ,キータグ,,,,,,,,,,,,,,,,
key.FailedToGet,%sの取得に失敗しました。,%sの取得に失敗しました。,,,,,,,,,,,,,,,,
key.SetProperty,設定,設定,,,,,,,,,,,,,,,,
key.NextTime,次回,次回,,,,,,,,,,,,,,,,
key.NextDateTime,次回出力日時,次回出力日時,,,,,,,,,,,,,,,,
key.KeyIndividual,キー個別,キー個別,,,,,,,,,,,,,,,,
key.ConformMessage,よろしいですか?,よろしいですか?,,,,,,,,,,,,,,,,
key.LastDateTime,前回出力日時,前回出力日時,,,,,,,,,,,,,,,,
key.DeleteLedgerHierarchy,帳票階層の削除,帳票階層の削除,,,,,,,,,,,,,,,,
key.DeleteLedger,帳票の削除,帳票の削除,,,,,,,,,,,,,,,,
key.LedgerHierarchy,帳票階層,帳票階層,,,,,,,,,,,,,,,,
key.FailedOf,%sに失敗しました,%sに失敗しました,,,,,,,,,,,,,,,,
key.DeleteOf,%sの削除,%sの削除,,,,,,,,,,,,,,,,
key.CreateOf,%sの作成,%sの作成,,,,,,,,,,,,,,,,
key.MoveOf,%sの移動,%sの移動,,,,,,,,,,,,,,,,
key.EditOf,%sの編集,%sの編集,,,,,,,,,,,,,,,,
key.LedgerFile,帳票ファイル,帳票ファイル,,,,,,,,,,,,,,,,
key.DownloadOf,%sのダウンロード,%sのダウンロード,,,,,,,,,,,,,,,,
key.LatestCount,最新%d件,最新%d件,,,,,,,,,,,,,,,,
key.SpecificPeriod,期間指定,期間指定,,,,,,,,,,,,,,,,
key.DisplayLimit,表示件数,表示件数,,,,,,,,,,,,,,,,
key.OutputSchedule,出力対象スケジュール,出力対象スケジュール,,,,,,,,,,,,,,,,
outputSummary,CSV出力時にサマリーも出力する,CSV出力時にサマリーも出力する,,,,,,,,,,,,,,,,
applyWorkflow,工程順に適用する,工程順に適用する,,,,,,,,,,,,,,,,
applyWorkflowTitle,工程の使用状況,工程の使用状況,,,,,,,,,,,,,,,,
applyWorkflowDesc1,%s は、次の工程順で使用されています。,%s は、次の工程順で使用されています。,,,,,,,,,,,,,,,,
applyWorkflowDesc2,最新版の工程を適用するには、工程順を選択して、[適用]を押下してください。,最新版の工程を適用するには、工程順を選択して、[適用]を押下してください。,,,,,,,,,,,,,,,,
workRev,対象工程の版数,対象工程の版数,,,,,,,,,,,,,,,,
afterRev,適用後の工程順の版数,適用後の工程順の版数,,,,,,,,,,,,,,,,
exist,有り,有り,,,,,,,,,,,,,,,,
notExist,無し,無し,,,,,,,,,,,,,,,,
noWorkflow,工程順が選択されていません,工程順が選択されていません,,,,,,,,,,,,,,,,
operationLog,Operation Log,作業ログ出力,,,,,,,,,,,,,,,,
appliedWorkflow ,工程順に適用しました,工程順に適用しました,,,,,,,,,,,,,,,,
latest,最新,最新,,,,,,,,,,,,,,,,
notApplicable,適用できません,適用できません,,,,,,,,,,,,,,,,
planWork,予定工数,予定工数,,,,,,,,,,,,,,,,
printing,Printing...,印刷中...,,,,,,,,,,,,,,,,
actualWork,実績工数,実績工数,,,,,,,,,,,,,,,,
key.DisplayOrder,表示順,表示順,,,,,,,,,,,,,,,,
key.DisplayOrderByName,名称,名称,,,,,,,,,,,,,,,,
key.DisplayOrderByCreate,作成,作成,,,,,,,,,,,,,,,,
key.DisplayByStartTime,開始予定,開始予定,,,,,,,,,,,,,,,,
key.DisplayOrderByCompTime,完了予定,完了予定,,,,,,,,,,,,,,,,
default,デフォルト,デフォルト,,,,,,,,,,,,,,,,
beforeChange,修正前,修正前,,,,,,,,,,,,,,,,
afterChange,修正後,修正後,,,,,,,,,,,,,,,,
changeActualTimeDesc,実績時間を変更します。,実績時間を修正します,,,,,,,,,,,,,,,,
customOut,Custom Output,カスタム出力,,,,,,,,,,,,,,,,
changeActualTime,実績時間の修正,実績時間の修正,,,,,,,,,,,,,,,,
errorChangeActualTime,入力された時間が前の実績時間より古いか、後の実績時間より新しいため、\n実績時間を更新できませんでした。,入力された時間が前の実績時間より古いか、後の実績時間より新しいため、\n実績時間を更新できませんでした。,,,,,,,,,,,,,,,,
errorPrintLabel,印刷要求の送信に失敗しました。\nSATO SmaPri Driver の状態を確認してください。,印刷要求の送信に失敗しました。\nSATO SmaPri Driver の状態を確認してください。,,,,,,,,,,,,,,,,
inputText,コメントを入力する,コメントを入力する,,,,,,,,,,,,,,,,
inventoryReserve,Inventory Reservation,在庫引当,,,,,,,,,,,,,,,,
displayText,後工程にコメントを表示する,後工程にコメントを表示する,,,,,,,,,,,,,,,,
startSerial,開始シリアル番号,開始シリアル番号,,,,,,,,,,,,,,,,
endSerial,終了シリアル番号,終了シリアル番号,,,,,,,,,,,,,,,,
inventoryReservation,Inventory reservation,在庫引当,,,,,,,,,,,,,,,,
errorPrintLabel,印刷要求の送信に失敗しました。\nSATO SmaPri Driver の状態を確認してください。,印刷要求の送信に失敗しました。\nSATO SmaPri Driver の状態を確認してください。,,,,,,,,,,,,,,,,
printing,Printing...,印刷中...,,,,,,,,,,,,,,,,
operationLog,Operation Log,作業ログ出力,,,,,,,,,,,,,,,,
warehouse.inspection,Inspection,受入検査,,,,,,,,,,,,,,,,
warehouse.shipping,Shipping,出荷払出,,,,,,,,,,,,,,,,
key.KbList.CheckDataOutName,Inspection data output,検査データ出力,,,,,,,,,,,,,,,,
key.KbList.OK,Normal,正常,,,,,,,,,,,,,,,,
key.KbList.WorkIdNot,Process ID not entered in process order,工程順に工程IDが未入力,,,,,,,,,,,,,,,,
key.KbList.WorkIdMiss,Process ID is different,工程IDが違います,,,,,,,,,,,,,,,,
key.KbList.IniFileNot,Cannot find FUJI-MES linkage setting file,FUJI-MES連携設定ファイルが見つからない,,,,,,,,,,,,,,,,
key.KbList.IniFileDeficiency,FUJI-MES linkage setting file is incomplete.,FUJI-MES連携設定ファイルに不備あり,,,,,,,,,,,,,,,,
key.KbList.TresaItemNot,Quality Traceability setting information not found,品質トレーサビリテ設定情報が見つからない,,,,,,,,,,,,,,,,
key.KbList.CheckResultNot,Test results not yet entered,検査結果が未入力,,,,,,,,,,,,,,,,
key.KbList.OutOfRange,Outside the standard range,基準範囲外,,,,,,,,,,,,,,,,
key.KbList.EntryRule,outside the entry rule,入力規則外,,,,,,,,,,,,,,,,
key.KbList.OutDataChkEx,Test results not yet entered,検査結果が未入力,,,,,,,,,,,,,,,,
key.KbList.DialogCancel,Search data output has been canceled.,検索データの出力がキャンセルされました。,,,,,,,,,,,,,,,,
key.KbList.FileOutNg,Failed to output search data.,検索データの出力に失敗しました。,,,,,,,,,,,,,,,,
key.KbList.FileOutKo,Search data output is complete.,検索データの出力が完了しました。,,,,,,,,,,,,,,,,
unarrivedOnly,Unarrived goods only,未納入品のみ,,,,,,,,,,,,,,,,
customOut,Custom Output,カスタム出力,,,,,,,,,,,,,,,,
warehouse.production,Receipt from Production,完成入庫,,,,,,,,,,,,,,,,
last_time,last_time,前回,,,,,,,,,,,,,,,,
key.import.failed,インポートに失敗しました,インポートに失敗しました,,,,,,,,,,,,,,,,
waitingConfirm,Waiting Confirm,確認待ち,,,,,,,,,,,,,,,,
picked,Picked,ピッキング完了,,,,,,,,,,,,,,,,
waitingDelivery,Waiting Delivery,払出待ち,,,,,,,,,,,,,,,,
confirmDelete,Delete the selected items. Are you sure?,選択した項目を削除します。よろしいですか?,,,,,,,,,,,,,,,,
key.PayoutEndRowNum,Number of rows of payout completed,払出完了の行数,,,,,,,,,,,,,,,,
key.WaitingDeliveryRowNum,Number of lines waiting to be dispatched,払出待ちの行数,,,,,,,,,,,,,,,,
key.PickingRowNum,Lines in picking,ピッキング中の行数,,,,,,,,,,,,,,,,
key.ReceptionRowNum,Number of lines in Receiving,受付の行数,,,,,,,,,,,,,,,,
key.PayoutEndShowDays,Number of days to show dispatch completed,払出完了の表示日数,,,,,,,,,,,,,,,,
key.ProductNum,product number,製番,,,,,,,,,,,,,,,,
key.PayoutEnd,payout completed,払出完了,,,,,,,,,,,,,,,,
key.WhilePicking,Picking,ピッキング中,,,,,,,,,,,,,,,,
key.Reception,reception,受付,,,,,,,,,,,,,,,,
unit,Unit,単位,,,,,,,,,,,,,,,,
materialDesc,Material / Manufacturer,材質・メーカー,,,,,,,,,,,,,,,,
requiredQty,Required Qty,必要数,,,,,,,,,,,,,,,,
deliveryDate,Delivery Date,払出開始日,,,,,,,,,,,,,,,,
reservesCheck,Only materials that need to be checked.,確認が必要な部品のみ表示する,,,,,,,,,,,,,,,,
ordering,On Order,発注中,,,,,,,,,,,,,,,,
reservedStock,Reserved,概引当,,,,,,,,,,,,,,,,
availableStock,Available,未引当,,,,,,,,,,,,,,,,
reservation,Reservation,新規引当,,,,,,,,,,,,,,,,
note,Note,メモ,,,,,,,,,,,,,,,,
autoReservation,Auto Reservation,自動引当,,,,,,,,,,,,,,,,
releaseAllReservation,Release All,引当全解除,,,,,,,,,,,,,,,,
releaseReservation,Release,引当解除,,,,,,,,,,,,,,,,
importPickingList,Import PickingList,ピッキングリスト取込,,,,,,,,,,,,,,,,
importSchedule,Import Schedule,作業計画取込,,,,,,,,,,,,,,,,
details,Details,詳細,,,,,,,,,,,,,,,,
overlapDelivery,Withdrawal order has already been registered.,既に払出指示が登録されています。,,,,,,,,,,,,,,,,
printWithdrawalOrder,Print the withdrawal orders.,払出票を印刷します。,,,,,,,,,,,,,,,,
prodType,Type,型式,,,,,,,,,,,,,,,,
applyReservation,Apply,引当を確定する,,,,,,,,,,,,,,,,
pickingQty,Picking Qty.,ピッキング数,,,,,,,,,,,,,,,,
withdrawalQty,Withdrawal Qty.,在庫払出数,,,,,,,,,,,,,,,,
conReleaseAllReserve,全ての部品の在庫引当を解除します。よろしいですか?,全ての部品の在庫引当を解除します。よろしいですか?,,,,,,,,,,,,,,,,
conReleaseReserve,選択された部品の在庫引当を解除します。よろしいですか?,選択された部品の在庫引当を解除します。よろしいですか?,,,,,,,,,,,,,,,,
conReserve,在庫引当を確定します。よろしいですか?,在庫引当を確定します。よろしいですか?,,,,,,,,,,,,,,,,
warehouse.delivery,Delivery,在庫払出,,,,,,,,,,,,,,,,
warehouse.m001,区画名を選択してください,区画名を選択してください,,,,,,,,,,,,,,,,
warehouse.m002,在庫引当が可能な部品がありません。,在庫引当が可能な部品がありません。,,,,,,,,,,,,,,,,
warehouse.m003,引当済みの部品があります。引当を解除して、在庫引当をおこないます。よろしいですか?,引当済みの部品があります。引当を解除して、在庫引当をおこないます。よろしいですか?,,,,,,,,,,,,,,,,
outputInventoryList,Output Inventory List,在庫リスト出力,,,,,,,,,,,,,,,,
remarks,Remarks,備考,,,,,,,,,,,,,,,,
nonDeletabledItems,There are items that could not be deleted.,削除できなかった項目があります。,,,,,,,,,,,,,,,,
deliveryDate,Completed Date,払出完了日,,,,,,,,,,,,,,,,
equipmentNo,装置番号,装置番号,,,,,,,,,,,,,,,,
completedNum,完成数,完成数,,,,,,,,,,,,,,,,
equipmentStop,装置停止,装置停止,,,,,,,,,,,,,,,,
releasedOrder,Released Order,発注残,,,,,,,,,,,,,,,,
exceedOrder,Received quantity is exceed to PO quantity. Continue processing?,入庫数が発注数を超過しています。処理を続けますか？,,,,,,,,,,,,,,,,
key.tipAddIcon,設備の追加,設備の追加,,,,,,,,,,,,,,,,
key.tipDeleteIcon,設備の削除,設備の削除,,,,,,,,,,,,,,,,
key.selectBackImage,背景画像の選択,背景画像の選択,,,,,,,,,,,,,,,,
key.confirmLayout,レイアウトが保存されていません。アプリケーションを終了してもよろしいですか?,レイアウトが保存されていません。アプリケーションを終了してもよろしいですか?,,,,,,,,,,,,,,,,
key.overwriteLayout,レイアウトを上書き保存します。よろしいですか?,レイアウトを上書き保存します。よろしいですか?,,,,,,,,,,,,,,,,
key.maxIcons,これ以上、設備を追加できません。配置可能な設備は最大50個です。,これ以上、設備を追加できません。配置可能な設備は最大50個です。,,,,,,,,,,,,,,,,
pasteImage,Paste Image (Ctrl+V),画像の貼り付け (Ctrl+V),,,,,,,,,,,,,,,,
key.ShowActualTime,ShowActualTime,進捗時間表示,,,,,,,,,,,,,,,,
pasteToCurrentSheet,Paste to current sheet,現在のシートのみに貼り付け,,,,,,,,,,,,,,,,
pasteToAllSheets,Paste to all sheets,すべてのシートに貼り付け,,,,,,,,,,,,,,,,
pasteImageTitle,Paste Image,画像貼り付け,,,,,,,,,,,,,,,,
key.KanbanOutLedgerPdfFail,ExcelファイルからPDFファイルへの変換に失敗しました。\r\n出力されたExcelファイルを確認してください。,ExcelファイルからPDFファイルへの変換に失敗しました。\r\n出力されたExcelファイルを確認してください。,,,,,,,,,,,,,,,,
outputPdf,Convert to PDF,PDF形式で出力する,,,,,,,,,,,,,,,,
patternSyntaxError,Pattern syntax error,入力規則の構文に誤りがあります,,,,,,,,,,,,,,,,
key.InsertTab,key.InsertTab,新規挿入,新規挿入,,,,,,,,,,,,,,,
key.NetworkFolderError,NetworkFolderError,ネットワークフォルダ接続時に不明なエラーが発生しました。,,,,,,,,,,,,,,,,
key.NotConnectedNetworkFolder,NotConnectedNetworkFolder,ネットワークフォルダの接続に失敗しました。ログファイルを保存しお問い合わせください。,,,,,,,,,,,,,,,,
key.NotAuthenticatedNetworkFolder,NotAuthenticatedNetworkFolder,ネットワークフォルダの認証情報が間違っています。,,,,,,,,,,,,,,,,
key.NotAuthorizedNetworkFolder,NotAuthorizedNetworkFolder,ネットワークフォルダへのアクセスが拒否されました。,,,,,,,,,,,,,,,,
key.NotFoundNetworkFolder,NotFoundNetworkFolder,ネットワークフォルダが見つかりません。,,,,,,,,,,,,,,,,
key.NotAvailableNetworkFolder,NotAvailableNetworkFolder,ネットワークフォルダの再接続中にエラーが発生しました。,,,,,,,,,,,,,,,,
key.NotMultipleLoginsNetworkFolder,NotMultipleLoginsNetworkFolder,ネットワークフォルダに異なる資格情報での複数接続は許可されません。,,,,,,,,,,,,,,,,
key.NoOperationLogData,No OperationLog Data,出力する作業ログ情報がありません。,,,,,,,,,,,,,,,,
key.SaveFileCompleted,%s Save File Completed,%sをファイルに保存しました。,,,,,,,,,,,,,,,,
key.CurrentInformation,Current Information,現在の情報,,,,,,,,,,,,,,,,
key.ReadQRByCamera,カメラでQRコードを読み取る,カメラでQRコードを読み取る,,,,,,,,,,,,,,,,
