KEY,標準,標準_日本語,倉庫,倉庫_日本語,FUJI,FUJI_日本語,FUJI岡崎,FUJI豊田,FUJI豊田(機械加工),ELS,明和,東栄電機,NFT,東芝産業機器システム,フジプレアム,ツガル精密機器,富士電機,日本マイクロニクス
key.Quantity,Quantity,数量,,,,,,,,,,,,,,,,
key.RadioButtonSerial,Serial,シリアル,,,,,,,,,,,,,,,,
key.RadioButtonWorker,Worker,作業者,,,,,,,,,,,,,,,,
key.readBarcodeCreateKanban,バーコードの読み取り時、自動でカンバンを作成する。,バーコードの読み取り時、自動でカンバンを作成する。,,,,,,,,,,,,,,,,
key.ReadInstruction,Read,読込,,,,,,,,,,,,,,,,
key.ReadInstructionNotAvailable,Reading work instruction information is not available,作業指示情報の読み込みが使用できません,,,,,,,,,,,,,,,,
key.readWorkerBarcode,作業者バーコードの読み取り中...,作業者バーコードの読み取り中...,,,,,,,,,,,,,,,,
key.readWorkerBarcode.details,作業者バーコードをスキャンしてください。スキャンできない場合は、[選択]を選択してください。,作業者バーコードをスキャンしてください。スキャンできない場合は、[選択]を選択してください。,,,,,,,,,,,,,,,,
key.ready,準備完了,準備完了,,,,,,,,,,,,,,,,
key.Reason,Reason,理由,,,,,,,,,,,,,,,,
key.ReasonCategory,Reason classification,理由区分,,,,,,,,,,,,,,,,
key.ReasonCategory.Delete.ChildExist,Cannot delete because it has child,不良理由が存在しているため削除できません,,,,,,,,,,,,,,,,
key.ReasonCategoryEdit,Reason classification edit,理由区分編集,,,,,,,,,,,,,,,,
key.ReasonCategoryName,Reason category name,理由区分名,,,,,,,,,,,,,,,,
key.Reconnection,Reconnection,再接続,,,,,,,,,,,,,,,,
key.ReferenceKanban,Reference Kanban,カンバン参照,,,,,,,,,,,,,,,,
key.ReferenceNumber,管理番号,管理番号,,,,,,,,,,,,,,,,
key.ReferenceResource,Referance Resource,リソース参照,,,,,,,,,,,,,,,,
key.ReferenceTime,Reference time,基準時間,,,,,,,,,,,,,,,,
key.Regist,Regist,登録,,,,,,,,,,,,,,,,
key.RegistKanban,Regist Kanban,カンバンの登録,,,,,,,,,,,,,,,,
key.RegistOrderProcesses,Regist Order Processes,工程順の登録,,,,,,,,,,,,,,,,
key.RegistOverlapMessage,%s is I aborted the registration process because it is a duplicate.,%sが重複しているため登録処理を中止しました。,,,,,,,,,,,,,,,,
key.RegistProcess,Regist Process,工程の登録,,,,,,,,,,,,,,,,
key.RegistrationDate,Registration date,登録日,,,,,,,,,,,,,,,,
key.ReleaseCheckAll,Release Check All,すべて解除,,,,,,,,,,,,,,,,
key.Remain,Remain,残り台数,,,,,,,,,,,,,,,,
key.rememberLoginID,Remember login ID,ログインIDを記憶する,,,,,,,,,,,,,,,,
